gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue,lon,lat
4400815374,1eaa9e1b-cb70-4ee5-a29e-31e2b5021cc2,UDEA:CEMUA:ECHI:000091,Animalia,Echinodermata,Echinoidea,Camarodonta,Echinometridae,Echinometra,Echinometra lucunter,NA,SPECIES,"Echinometra lucunter (Linnaeus, 1758)",Echinometra lucunter,"Linnaeus, 1758",CO,Canales de Tio Kike,Bolívar,PRESENT,2,cccff716-2694-4209-9f9e-2f7a484465a0,NA,NA,NA,NA,4,0,2012-06-24,24,6,2012,2278861,2278861,PRESERVED_SPECIMEN,Universidad de Antioquia (UDEA),CEMUA,ECHI:000091,NA,Daniela Yepes Gaurisas,2012-06-24T00:00:00Z,CC_BY_4_0,Universidad de Antioquia,Mario Hernán Londoño Mesa;Daniela Yepes Gaurisas,NA,NA,2025-08-01T12:28:31Z,NA,INSTITUTION_MATCH_NONE,-75.858,9.7963
4168515954,a4305468-d94d-4244-b146-738e52d8a6e9,0ee0ac7cb7d3194dc3d4313633093bd0,Animalia,Echinodermata,Echinoidea,Camarodonta,Echinometridae,Echinometra,Echinometra lucunter,NA,SPECIES,"Echinometra lucunter (Linnaeus, 1758)",Echinometra lucunter,"(Linnaeus, 1758)",MX,Transecto 1,NA,PRESENT,1,ff90b050-c256-11db-b71b-b8a03c50a862,NA,NA,0,0,2.5,2.5,2016-04-23,23,4,2016,2278861,2278861,PRESERVED_SPECIMEN,ICML-UNAM,CNE,ICML-UNAM 18033,NA,"Hernández-Díaz, Y. Q.",NA,CC_BY_4_0,Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO),"Hernández-Díaz, Y. Q.",NotAType,NA,2025-07-05T01:58:40Z,NA,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;SCIENTIFIC_NAME_ID_NOT_FOUND;TAXON_ID_NOT_FOUND;DEPTH_MIN_MAX_SWAPPED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_NONE,-91.972778,20.219222
4168515738,a4305468-d94d-4244-b146-738e52d8a6e9,2054524bc99a813c314e7a25ae926d27,Animalia,Echinodermata,Echinoidea,Camarodonta,Echinometridae,Echinometra,Echinometra lucunter,NA,SPECIES,"Echinometra lucunter (Linnaeus, 1758)",Echinometra lucunter,"(Linnaeus, 1758)",MX,Punta Norte,NA,PRESENT,1,ff90b050-c256-11db-b71b-b8a03c50a862,NA,NA,0,0,2.5,2.5,2016-04-24,24,4,2016,2278861,2278861,PRESERVED_SPECIMEN,ICML-UNAM,CNE,ICML-UNAM 18056,NA,"Hernández-Díaz, Y. Q.",NA,CC_BY_4_0,Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO),"Hernández-Díaz, Y. Q.",NotAType,NA,2025-07-05T01:58:38Z,NA,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;SCIENTIFIC_NAME_ID_NOT_FOUND;TAXON_ID_NOT_FOUND;DEPTH_MIN_MAX_SWAPPED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_NONE,-91.960667,20.207694
3306394835,a4305468-d94d-4244-b146-738e52d8a6e9,e05d50cb25865797c14d6f178098f564,Animalia,Echinodermata,Echinoidea,Camarodonta,Echinometridae,Echinometra,Echinometra lucunter,NA,SPECIES,"Echinometra lucunter (Linnaeus, 1758)",Echinometra lucunter,"(Linnaeus, 1758)",MX,Punto 05,NA,PRESENT,1,ff90b050-c256-11db-b71b-b8a03c50a862,NA,NA,2.6,2.6,2.65,2.65,2017-04-02,2,4,2017,2278861,2278861,PRESERVED_SPECIMEN,UMDI-FC-UNAM,COREPY,COREPY-0016,NA,"Márquez, F.",NA,CC_BY_4_0,Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO),"Hernández-Díaz, Y. Q.",NotAType,NA,2025-07-05T01:58:40Z,NA,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;SCIENTIFIC_NAME_ID_NOT_FOUND;TAXON_ID_NOT_FOUND;DEPTH_MIN_MAX_SWAPPED;ELEVATION_MIN_MAX_SWAPPED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;DIFFERENT_OWNER_INSTITUTION,-91.968917,20.214806
3306391044,a4305468-d94d-4244-b146-738e52d8a6e9,66d2865fceb716be45eb530e695babb0,Animalia,Echinodermata,Echinoidea,Camarodonta,Echinometridae,Echinometra,Echinometra lucunter,NA,SPECIES,"Echinometra lucunter (Linnaeus, 1758)",Echinometra lucunter,"(Linnaeus, 1758)",MX,12_TW_A,NA,PRESENT,1,ff90b050-c256-11db-b71b-b8a03c50a862,NA,NA,0,0,8,8,2017-09-10,10,9,2017,2278861,2278861,PRESERVED_SPECIMEN,UMDI-FC-UNAM,COREPY,COREPY-0248,NA,"Márquez, F.",NA,CC_BY_4_0,Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO),"Márquez, F.",NotAType,NA,2025-07-05T01:58:39Z,NA,CONTINENT_DERIVED_FROM_COORDINATES;SCIENTIFIC_NAME_ID_NOT_FOUND;TAXON_ID_NOT_FOUND;DEPTH_MIN_MAX_SWAPPED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;DIFFERENT_OWNER_INSTITUTION,-92.30751,20.96073
3028117912,26098c25-8f7f-4c71-97ac-1d3db181c65e,http://n2t.net/ark:/65665/3c014c21b-fdc4-41b0-82a4-5739e5a02364,Animalia,Echinodermata,Echinoidea,Camarodonta,Echinometridae,Echinometra,Echinometra lucunter,NA,SPECIES,"Echinometra lucunter (Linnaeus, 1758)",Echinometra lucunter,(Linnaeus),BZ,"Belize, Stann Creek, Pelican Cays, back reef lagoon, reef rubble",Stann Creek District,PRESENT,1,bc092ff0-02e4-11dc-991f-b8a03c50a862,NA,NA,NA,NA,1,0,2014-07-07,7,7,2014,2278861,2278861,MATERIAL_SAMPLE,USNM,IZ,USNM 1439098,BCBC_325,NA,NA,CC0_1_0,NA,"S. McKeon, A. Windsor, C. Weber, S. Harris, T. Yockachonis, M. Jones & J. Boehm",NA,NA,2025-08-01T10:30:28Z,NA,GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_INVALID;CONTINENT_DERIVED_FROM_COORDINATES,-88.0811,16.8021
2993588690,f13e2caf-5093-4f9a-9de6-e38775b5a737,INVEMAR:SIMAC:InvVag:TIO-1:2008:M1:002097,Animalia,Echinodermata,Echinoidea,Camarodonta,Echinometridae,Echinometra,Echinometra lucunter,NA,SPECIES,"Echinometra lucunter (Linnaeus, 1758)",Echinometra lucunter,"(Linnaeus, 1758)",CO,"Parque Nacional Natural Corales del Rosario y San Bernardo, Noroeste de Isla Tintipan Tiosolda Estación TIO 1",Bolívar,PRESENT,NA,f072f648-b8a4-47a0-9e1c-89d790645b5a,NA,NA,NA,NA,10.5,1.5,2008-09-30,30,9,2008,2278861,2278861,HUMAN_OBSERVATION,Instituto de Investigaciones Marinas y Costeras “José Benito Vives de Andréis” (Invemar),NA,NA,NA,NA,NA,CC_BY_4_0,NA,Catalina Casas;Johanna Carolina Vega Sequeda,NA,NA,2025-08-02T11:49:05Z,NA,COORDINATE_ROUNDED,-75.890833,9.821944
2993588681,f13e2caf-5093-4f9a-9de6-e38775b5a737,INVEMAR:SIMAC:InvVag:IGU-1:2005:S3:001463,Animalia,Echinodermata,Echinoidea,Camarodonta,Echinometridae,Echinometra,Echinometra lucunter,NA,SPECIES,"Echinometra lucunter (Linnaeus, 1758)",Echinometra lucunter,"(Linnaeus, 1758)",CO,"Reserva de Biosfera Sea Flower, Iguana Estación IGU 1","Archipiélago de San Andrés, Providencia y Santa Catalina",PRESENT,NA,f072f648-b8a4-47a0-9e1c-89d790645b5a,NA,NA,NA,NA,10.5,7.5,2005-09-13,13,9,2005,2278861,2278861,HUMAN_OBSERVATION,Instituto de Investigaciones Marinas y Costeras “José Benito Vives de Andréis” (Invemar),NA,NA,NA,NA,NA,CC_BY_4_0,NA,Carlos Andrés Orozco;Julian Olaya,NA,NA,2025-08-02T11:49:05Z,NA,COORDINATE_ROUNDED;CONTINENT_COORDINATE_MISMATCH,-81.733333,12.500417
2993588668,f13e2caf-5093-4f9a-9de6-e38775b5a737,INVEMAR:SIMAC:InvVag:PAV-1:2013:M3:003053,Animalia,Echinodermata,Echinoidea,Camarodonta,Echinometridae,Echinometra,Echinometra lucunter,NA,SPECIES,"Echinometra lucunter (Linnaeus, 1758)",Echinometra lucunter,"(Linnaeus, 1758)",CO,"Parque Nacional Natural Corales del Rosario y San Bernardo, Isla Pavitos Estación PAV 1",Bolívar,PRESENT,NA,f072f648-b8a4-47a0-9e1c-89d790645b5a,NA,NA,NA,NA,14,5,2013-12-05,5,12,2013,2278861,2278861,HUMAN_OBSERVATION,Instituto de Investigaciones Marinas y Costeras “José Benito Vives de Andréis” (Invemar),NA,NA,NA,NA,NA,CC_BY_4_0,NA,Laura Muñoz Escobar;Diana Carolina Ballesteros Contreras,NA,NA,2025-08-02T11:49:05Z,NA,COORDINATE_ROUNDED,-75.770639,10.174861
2993588666,f13e2caf-5093-4f9a-9de6-e38775b5a737,INVEMAR:SIMAC:InvVag:MAN-1:2012:S1:002919,Animalia,Echinodermata,Echinoidea,Camarodonta,Echinometridae,Echinometra,Echinometra lucunter,NA,SPECIES,"Echinometra lucunter (Linnaeus, 1758)",Echinometra lucunter,"(Linnaeus, 1758)",CO,"Parque Nacional Natural Corales del Rosario y San Bernardo, Frente a Isla Mangle Estación MAN 1",Bolívar,PRESENT,NA,f072f648-b8a4-47a0-9e1c-89d790645b5a,NA,NA,NA,NA,5,1,2012-12-05,5,12,2012,2278861,2278861,HUMAN_OBSERVATION,Instituto de Investigaciones Marinas y Costeras “José Benito Vives de Andréis” (Invemar),NA,NA,NA,NA,NA,CC_BY_4_0,NA,Raul Navas Camacho;Johanna Carolina Vega Sequeda,NA,NA,2025-08-02T11:49:05Z,NA,COORDINATE_ROUNDED,-75.785389,9.777417
